City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,19.39,74,0,3.09,US,1698456461
1,albany,42.6001,-73.9662,19.7,74,18,2.0,US,1698456377
2,nishinoomote,30.7333,131.0,21.31,52,20,2.06,JP,1698456462
3,himatnagar,23.6,72.95,22.27,36,8,2.18,IN,1698456463
4,adamstown,-25.066,-130.1015,23.12,76,77,2.78,PN,1698456464
5,st. john's,47.5649,-52.7093,6.1,84,100,2.57,CA,1698456465
6,paracuru,-3.41,-39.0306,27.28,82,0,5.0,BR,1698456466
7,port mathurin,-19.6833,63.4167,24.41,76,31,4.27,MU,1698456467
8,grytviken,-54.2811,-36.5092,-1.41,85,17,4.42,GS,1698456468
9,praia,14.9215,-23.5087,27.3,78,20,7.2,CV,1698456468
10,bangassou,4.7413,22.8184,19.42,98,100,0.37,CF,1698456469
11,blackmans bay,-43.0167,147.3167,17.07,50,100,1.34,AU,1698456470
12,talnakh,69.4865,88.3972,-16.55,92,59,1.14,RU,1698456471
13,yellowknife,62.456,-114.3525,-4.69,86,100,0.0,CA,1698456472
14,bandar-e genaveh,29.5791,50.517,28.01,47,0,3.06,IR,1698456473
15,noordwijkerhout,52.25,4.4833,11.11,94,100,4.18,NL,1698456474
16,bilibino,68.0546,166.4372,-15.85,93,61,1.2,RU,1698456474
17,salsomaggiore terme,44.8148,9.9796,17.55,79,0,2.87,IT,1698456475
18,waitangi,-43.9535,-176.5597,10.46,73,48,3.13,NZ,1698456476
19,ribeira grande,38.5167,-28.7,19.14,75,99,8.07,PT,1698456477
20,puerto ayora,-0.7393,-90.3518,24.19,92,22,4.02,EC,1698456478
21,saipan,15.1355,145.701,31.39,74,40,5.14,MP,1698456479
22,dryden,49.7833,-92.7503,-2.84,93,100,2.57,CA,1698456479
23,allonnes,47.9674,0.1581,11.02,93,75,3.6,FR,1698456481
24,aasiaat,68.7098,-52.8699,-6.63,95,100,3.36,GL,1698456482
25,fale old settlement,-9.3852,-171.2468,28.59,74,50,2.58,TK,1698456483
26,puerto natales,-51.7236,-72.4875,2.36,74,84,6.21,CL,1698456484
27,paredon,16.0333,-93.8667,28.14,76,99,1.07,MX,1698456484
28,port-aux-francais,-49.35,70.2167,3.3,84,26,8.5,TF,1698456485
29,edinburgh of the seven seas,-37.0676,-12.3116,14.41,95,100,17.51,SH,1698456486
30,invercargill,-46.4,168.35,10.57,84,55,6.26,NZ,1698456487
31,cidreira,-30.1811,-50.2056,19.49,91,100,10.78,BR,1698456488
32,zarinsk,53.7074,84.9493,-2.97,64,98,4.44,RU,1698456489
33,iskateley,67.6803,53.1512,-14.43,96,6,2.24,RU,1698456490
34,fort bragg,35.139,-79.006,20.45,88,0,0.0,US,1698456206
35,port elizabeth,-33.918,25.5701,14.16,96,75,3.6,ZA,1698456492
36,tongliao,43.6125,122.2653,9.61,20,13,3.03,CN,1698456493
37,bredasdorp,-34.5322,20.0403,12.98,68,100,3.38,ZA,1698456494
38,iqaluit,63.7506,-68.5145,-5.15,67,20,2.06,CA,1698456353
39,inhambane,-23.865,35.3833,21.51,78,0,3.9,MZ,1698456496
40,dongcun,36.7767,121.1597,18.51,31,0,1.88,CN,1698456496
41,shorapur,16.5167,76.75,19.0,53,0,1.87,IN,1698456497
42,rawson,-43.3002,-65.1023,16.91,31,47,13.43,AR,1698456498
43,college,64.8569,-147.8028,-1.97,83,75,0.0,US,1698456499
44,vorgashor,67.5833,63.95,-9.16,97,100,2.2,RU,1698456500
45,hammerfest,70.6634,23.6821,-0.75,80,40,2.57,NO,1698456501
46,belmonte,-15.8631,-38.8828,25.75,81,100,4.11,BR,1698456502
47,afaahiti,-17.75,-149.2833,24.93,89,100,6.6,PF,1698456503
48,olonkinbyen,70.9221,-8.7187,-0.91,67,21,1.71,SJ,1698456504
49,ebon,4.582,168.6964,26.67,84,100,6.88,MH,1698456505
50,deschutes river woods,43.9915,-121.3584,2.33,70,100,3.6,US,1698456505
51,santo antonio,-6.3106,-35.4789,24.94,82,100,4.08,BR,1698456452
52,necochea,-38.5473,-58.7368,15.67,41,71,4.18,AR,1698456294
53,sitka,57.0531,-135.33,9.94,62,20,4.12,US,1698456508
